VD_A for time project:
VD_A(treatment=getlo, control=modificare_random) = (0.0, 'large')
VD_A(treatment=kanonizo_greedy, control=modificare_random) = (0.02, 'large')
VD_A(treatment=kanonizo_randomsearch, control=modificare_random) = (0.04, 'large')
VD_A(treatment=kanonizo_additionalgreedy, control=modificare_random) = (0.0, 'large')
VD_A(treatment=kanonizo_geneticalgorithm, control=modificare_random) = (0.1, 'large')
VD_A(treatment=modificare_HC_FA, control=modificare_random) = (0.41, 'small')
VD_A(treatment=modificare_ART_man_avg, control=modificare_random) = (0.8, 'large')
VD_A(treatment=modificare_genetic, control=modificare_random) = (0.64, 'small')
VD_A(treatment=modificare_SANN, control=modificare_random) = (0.46, 'negligible')
VD_A(treatment=modificare_HC_SA, control=modificare_random) = (0.34, 'small')

